text_en,text_ru
"2.14 One or more power sockets shall be set in TCWA. The power supply shall be taken from the lighting circuit described in 2.15. These sockets are 2P+PE 250V. 
2.15 The power supply and lighting power supply shall be separated and sent to the wall beside the machine room door of the elevator with machine room or the control cabinet of the elevator without machine room, or the lighting power supply shall be obtained by connecting to the incoming side of the main power switch described in Article 2.11. 
2.16 The distribution board shall be equipped with grounding bus (PE) and neutral bus (N). It is recommended to use resin board, laminate and other insulating materials for the distribution board, and the thickness should not be less than 8mm. The distribution board shall not adopt exposed wiring. 
2.17 The earth wire (PE) and the neutral wire (N) shall always be separated. 
3. Hoistway 
3.1 The hoistway of each elevator is completely enclosed by a non porous wall, bottom plate and top plate. Only the following openings are allowed: 
a. Landing door opening; 
b. The opening of access door, safety door and maintenance trap door leading to the hoistway; 
c. Exhaust vents for gas and smoke removal in case of fire; 
d. Vents; 
e. Permanent opening between hoistway and machine room. f. If the hoistway is partially closed, please contact to Hyundai Elevator Company. 
3.2 The wall, bottom and top plate of the hoistway shall have sufficient mechanical strength, and shall be made of solid and non combustible materials, which shall not contribute to the generation of dust. It is recommended to use full reinforced concrete hoistway. 
3.3 When the distance between two adjacent door sills exceeds 11m, an emergency door (provided by the customer) shall be set between them to ensure that the distance between adjacent sills does not exceed 11m. 
3.4 The height and width of the emergency exit shall not be less than 1.8m and 0.6m respectively. The height of the access door shall not be less than 2m and the width shall not be less than 0.8m. The height and width of the maintenance trap door shall not be greater than 0.5m, and they shall not be opened towards the hoistway. 
3.5 Access doors, safety doors and access trap doors shall be equipped with locks that can be opened with a key. When the door is opened, it can also be closed and locked without a key. Even if the access door and safety door are locked, they can be opened from the hoistway without a key. 3.6 The access door, safety door and access trap door shall be non porous and have the same mechanical strength as the landing door. 
3.7 The specified horizontal dimension of elevator hoistway is the minimum clearance dimension measured by plumb. The allowable deviation value is: 0~+25mm when the hoistway height TH ≤ 30m; 0~+35mm for hoistways with a height of 30m ＜ TH ≤ 60m; 0~+50mm when the hoistway height  is 60m ＜TH ≤ 200m; 
3.8 When multiple elevators are installed in the same hoistway, a guard fence shall be set between different elevator moving parts (car or counterweight) at the lower part of the hoistway, and the height shall extend from the lowest point of the car or counterweight travel to 2.5m above the pit floor. If the horizontal distance between moving parts is less than 0.5m, the guardrail shall run through the whole hoistway. 
3.9 If the hoistway wall is a non full concrete structure, the 0.3m high concrete ring beam shall be set in the hoistway at intervals of guide rail brackets, and the 0.3m high concrete lintel (the same width as the hoistway) shall be set on the entrance wall of each landing floor station at+100mm above the","2.14 В TCWA должно быть установлено одно или несколько электрических розеток. Электропитание должно быть взято из цепи освещения, описанной в 2.15. Эти розетки 2P+PE 250V. 
2.15 Электропитание и освещение должны быть разделены и поданы на стену рядом с дверью машинного помещения лифта с машинным помещением или контрольным шкафом лифта без машинного помещения, или электропитание освещения должно быть получено путем подключения к входной стороне главного выключателя, описанного в пункте 2.11. 
2.16 Распределительный щит должен быть оснащен заземляющим шиной (PE) и нейтральной шиной (N). Рекомендуется использовать смоляные панели, ламинат и другие изоляционные материалы для распределительного щита, а толщина не должна быть менее 8 мм. Распределительный щит не должен использовать открытое проводку. 
2.17 Заземляющий провод (PE) и нейтральный провод (N) всегда должны быть разделены. 
3. Шахта 
3.1 Шахта каждого лифта полностью закрыта непроницаемой стеной, нижней и верхней плитами. Разрешены только следующие отверстия: 
a. Открытие двери выхода; 
b. Открытие двери доступа, защитной двери и люка для обслуживания, ведущего в шахту; 
c. Вентиляционные отверстия для удаления газа и дыма в случае пожара; 
d. Вентиляционные отверстия; 
e. Постоянное отверстие между шахтой и машинным помещением. f. Если шахта частично закрыта, пожалуйста, свяжитесь с компанией Hyundai Elevator. 
3.2 Стена, нижняя и верхняя плиты шахты должны иметь достаточную механическую прочность и быть выполнены из твердых и несгораемых материалов, которые не способствуют образованию пыли. Рекомендуется использовать полностью армированную бетонную шахту. 
3.3 Когда расстояние между двумя соседними порогами дверей превышает 11 м, между ними должна быть установлена аварийная дверь (предоставленная заказчиком), чтобы обеспечить, чтобы расстояние между соседними порогами не превышало 11 м. 
3.4 Высота и ширина аварийного выхода не должны быть менее 1,8 м и 0,6 м соответственно. Высота двери доступа не должна быть менее 2 м, а ширина не должна быть менее 0,8 м. Высота и ширина люка для обслуживания не должны превышать 0,5 м, и они не должны открываться в сторону шахты. 
3.5 Двери доступа, защитные двери и люки доступа должны быть оснащены замками, которые можно открыть ключом. Когда дверь открыта, ее также можно закрыть и запереть без ключа. Даже если двери доступа и защитные двери заперты, их можно открыть из шахты без ключа. 3.6 Двери доступа, защитные двери и люки доступа должны быть непроницаемыми и иметь такую же механическую прочность, как и двери выхода. 
3.7 Указанный горизонтальный размер шахты лифта является минимальным размером зазора, измеренным отвесом. Допустимое отклонение: 0~+25 мм, когда высота шахты TH ≤ 30 м; 0~+35 мм для шахт с высотой 30 м < TH ≤ 60 м; 0~+50 мм, когда высота шахты 60 м < TH ≤ 200 м; 
3.8 Когда несколько лифтов установлены в одной шахте, между различными движущими частями лифта (кабиной или противовесом) в нижней части шахты должно быть установлено защитное ограждение, высота которого должна простираться от самой низкой точки движения кабины или противовеса до 2,5 м над полом ямы. Если горизонтальное расстояние между движущими частями менее 0,5 м, ограждение должно проходить через всю шахту. 
3.9 Если стена шахты не является полноценно бетонной конструкцией, в шахте на интервалах опорных кронштейнов направляющих должны быть установлены бетонные кольцевые балки высотой 0,3 м, а на входной стене каждой станции этажа должны быть установлены бетонные перемычки высотой 0,3 м (такой же ширины, как шахта) на +100 мм выше"
21 FLOOR / 21 ST,21 ЭТАЖ / 21-Й
2300,2300
278,278
310,310
37500,37500
37800,37800
4000,4000
425,425
4270,4270
450,450
51,51
557.5,557.5
563.5,563.5
61500,61500
616.5,616.5
635,635
657,657
68400,68400
68700,68700
71500,71500
71650,71650
71950,71950
72000,72000
72100,72100
72150,72150
725,725
75250,75250
75550,75550
815,815
A5080562C-L001001-04,A5080562C-L001001-04
A5080562C-L001003-01,A5080562C-L001003-01
A5080562C-L001003-02,A5080562C-L001003-02
A5080562C-L001003-03,A5080562C-L001003-03
A5080562C-L002003-05,A5080562C-L002003-05
A5080562C-L004005-04,A5080562C-L004005-04
A5080562C-L004006-01,A5080562C-L004006-01
A5080562C-L004006-02,A5080562C-L004006-02
A5080562C-L004006-03,A5080562C-L004006-03
A5080562C-L006006-05,A5080562C-L006006-05
A5080562C-L007009-01,A5080562C-L007009-01
A5080562C-L007009-02,A5080562C-L007009-02
A5080562C-L007009-03,A5080562C-L007009-03
A5080562C-L007009-04,A5080562C-L007009-04
A5080562C-L010011-01,A5080562C-L010011-01
A5080562C-L010011-02,A5080562C-L010011-02
A5080562C-L010011-03,A5080562C-L010011-03
A5080562C-L010011-04,A5080562C-L010011-04
A5080562C-L012014-01,A5080562C-L012014-01
A5080562C-L012014-02,A5080562C-L012014-02
A5080562C-L012014-03,A5080562C-L012014-03
A5080562C-L012014-04,A5080562C-L012014-04
A5080562C-L015017-01,A5080562C-L015017-01
A5080562C-L015017-02,A5080562C-L015017-02
A5080562C-L015017-03,A5080562C-L015017-03
A5080562C-L015017-04,A5080562C-L015017-04
A5080562C-L018019-01,A5080562C-L018019-01
A5080562C-L018019-02,A5080562C-L018019-02
A5080562C-L018019-03,A5080562C-L018019-03
A5080562C-L018019-04,A5080562C-L018019-04
A5080683A-L001001-02,A5080683A-L001001-02
A5080683A-L001001-03,A5080683A-L001001-03
A5080683A-L001001-04,A5080683A-L001001-04
A5080683A-L001003-01,A5080683A-L001003-01
A5080683A-L004006-01,A5080683A-L004006-01
A5080683A-L004006-02,A5080683A-L004006-02
A5080683A-L004006-03,A5080683A-L004006-03
A5080683A-L004006-04,A5080683A-L004006-04
A5080683A-L007009-01,A5080683A-L007009-01
A5080683A-L007009-02,A5080683A-L007009-02
A5080683A-L007009-03,A5080683A-L007009-03
A5080683A-L007009-04,A5080683A-L007009-04
A5080683A-L010011-01,A5080683A-L010011-01
A5080683A-L010011-02,A5080683A-L010011-02
A5080683A-L010011-03,A5080683A-L010011-03
A5080683A-L010011-04,A5080683A-L010011-04
A5080683A-L012014-01,A5080683A-L012014-01
A5080683A-L012014-02,A5080683A-L012014-02
A5080683A-L012014-03,A5080683A-L012014-03
A5080683A-L012014-04,A5080683A-L012014-04
A5080683A-L015017-01,A5080683A-L015017-01
A5080683A-L015017-02,A5080683A-L015017-02
A5080683A-L015017-03,A5080683A-L015017-03
A5080683A-L015017-04,A5080683A-L015017-04
A5080683A-L018019-01,A5080683A-L018019-01
A5080683A-L018019-02,A5080683A-L018019-02
A5080683A-L018019-03,A5080683A-L018019-03
A5080683A-L018019-04,A5080683A-L018019-04
BG   2228,BG   2228
CLEAR OPENING 800(min),ЧИСТОЕ ОТКРЫТИЕ 800(мин)
EL NO. (L002003),ЭЛ. НОМЕР (L002003)
EL NO. (L004005),ЭЛ. НОМЕР (L004005)
EL NO. (L006006),ЭЛ. НОМЕР (L006006)
HH,HH
HOISTWAY DEPTH 2000,ГЛУБИНА ШАХТЫ 2000
HOISTWAY DEPTH 2300,ГЛУБИНА ШАХТЫ 2300
HOISTWAY WIDTH 1825,ШИРИНА ШАХТЫ 1825
HOISTWAY WIDTH 2725,ШИРИНА ШАХТЫ 2725
"L001
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L002003
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L001
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L002003
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L001
- CAR RAIL		:    T89_1
- CWT RAIL		:    TD65_2.5
L002003
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5

- EN81-20/50+72
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L001
- РЕЛЬС ДЛЯ КАБИНЫ		:    T89_1
- РЕЛЬС CWT		:    TD65_2.5
L002003
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5

- EN81-20/50+72
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L006
- CAR RAIL		:      T89_1
- CWT RAIL		:    TD65_2.5
L004005
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5

- EN81-20/50+72
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L006
- РЕЛЬС ДЛЯ КАБИНЫ		:      T89_1
- РЕЛЬС CWT		:    TD65_2.5
L004005
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5

- EN81-20/50+72
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L006
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L004005
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L006
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L004005
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L007
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L008009
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5

- EN81-20/50+72
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L007
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L008009
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5

- EN81-20/50+72
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L007
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L008009
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L007
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L008009
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
L007008,L007008
L008009,L008009
"L014
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L012013
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5

- EN81-20/50+72
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L014
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L012013
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5

- EN81-20/50+72
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L014
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L012013
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L014
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L012013
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L017
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L015016
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5

- EN81-20/50+72
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L017
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L015016
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5

- EN81-20/50+72
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
"L017
- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
L015016
- CAR RAIL		:    8K
- CWT RAIL		:    TD60_1.5
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","L017
- РЕЛЬС ДЛЯ КАБИНЫ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
L015016
- РЕЛЬС ДЛЯ КАБИНЫ		:    8K
- РЕЛЬС CWT		:    TD60_1.5
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ КАБИНЫ)"
MACHINE ROOM DEPTH   4000,ГЛУБИНА МАШИННОГО ПОМЕЩЕНИЯ   4000
MACHINE ROOM DEPTH   4300,ГЛУБИНА МАШИННОГО ПОМЕЩЕНИЯ   4300
MACHINE ROOM WIDTH   3300,ШИРИНА МАШИННОГО ПОМЕЩЕНИЯ   3300
MACHINE ROOM WIDTH   6200,ШИРИНА МАШИННОГО ПОМЕЩЕНИЯ   6200
OH,OH
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1400X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71000,ШАГ КРЕПЛЕНИЯ РЕЛЬСА (СВЕРХУ ВНИЗ) 1400X2+1500+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71000
RAIL BRACKET PITCH(FROM TOP TO BOTTOM) 1500X3+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71200,ШАГ КРЕПЛЕНИЯ РЕЛЬСА (СВЕРХУ ВНИЗ) 1500X3+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1000+1500X6+1200+1500X3+1000=71200
RAIL PITCH(FROM TOP TO BOTTOM) 5000 X 11 = 55000,УГОЛЬНЫЙ УГОЛ (СВЕРХУ ВНИЗ) 5000 X 11 = 55000
RAIL PITCH(FROM TOP TO BOTTOM) 5000 X 14 = 70000,УГОЛЬНЫЙ УГОЛ (СВЕРХУ ВНИЗ) 5000 X 14 = 70000
TECHNICAL CONDITIONS OF ELEVATOR LAYOUT DRAWING,ТЕХНИЧЕСКИЕ УСЛОВИЯ ЧЕРТЕЖА РАСПОЛОЖЕНИЯ ЛИФТА
WIDTH:1100 (min),ШИРИНА: 1100 (мин)
"horizontal opening height of the ground. It can also be replaced by steel beams with corresponding strength. If the hoistway wall is a solid concrete structure, no ring beam is required, and the minimum thickness of the hoistway wall is 0.15 m. 
3.10 The elevator hoistway shall be used exclusively for elevators, and no equipment, cables, etc. irrelevant to elevators shall be installed in the hoistway. 
3.11 The hoistway shall be equipped with permanent electrical lighting, which can be illuminated even when the doors are closed during maintenance and repair. Illumination requirements: ≥ 50lx at 1m above the car roof and pit floor, ≥ 20lx at other areas. The hoistway lighting wiring shall not be exposed with plastic sheathed wire. 
4. Pit
4.1 The lower part of the hoistway shall be provided with a pit and drainage device. The pit shall not leak or seep, and the bottom of the pit shall be smooth and flat. 
4.2 The elevator hoistway should not be set on the space that people can reach. If there is space for people to reach under the lift car or counterweight, the bottom of the hoistway pit shall be designed with a minimum load of 5000 N/m2, and the counterweight buffer shall be installed on the solid pile pier extending to the firm ground. 
4.3 In order to facilitate the maintenance personnel to enter the pit safely, a permanent vertical ladder device shall be set in the pit to enter the pit from the landing door. This device shall be fixed on the wall of the pit and shall not protrude into the space for elevator operation. 
4.4 A power socket shall be set in the pit (the same as Article 2.14). 
4.5 When the depth of the pit is greater than 2500mm, it is recommended that customers take by themself own maintenance platform for easy inspection and maintenance.
5. Landing 
5.1 Near the landing door, the illumination of the natural or artificial lighting of the landing station on the ground shall not be less than 50 lux. 
5.2 The minimum floor spacing: when the door is opened by two split doors, it shall not be less than (opening height+560) mm; The side opening of two doors shall not be less than (opening height+620) mm. 
6. After the installation of the elevator, necessary civil backfilling and decoration, such as: the perimeter of the door jamb, the traction machine steel beam (concrete pier), etc. 
7. Definitions of layout drawing terms 
a. Pit depth: The vertical distance between the decorative floor surface of the bottom landing station and the bottom surface of the hoistway 
b. Floor height: The vertical distance between two adjacent decorative floors 
c. Travel: The vertical distance from the decorative floor of the lowest floor parking station to the decorative floor of the top floor parking station 
d. Overhead:  The minimum vertical distance between the decorative floor of the top floor parking station and the top of the hoistway (excluding hooks/beams, etc.) 
e. Machine room height: The minimum vertical distance between the decorative floor and the top (excluding hooks/beams, etc.) in the machine room 
8. This notice is a part of the elevator civil engineering layout of Hyundai (China) Elevator Co., Ltd.","горизонтальная высота открытия земли. Также может быть заменена стальными балками с соответствующей прочностью. Если стенка шахты лифта представляет собой монолитную бетонную конструкцию, то кольцевой балкой не требуется, а минимальная толщина стенки шахты лифта составляет 0,15 м. 
3.10 Шахта лифта должна использоваться исключительно для лифтов, и в шахте не должно быть установлено оборудования, кабелей и т.д., не относящихся к лифтам. 
3.11 Шахта должна быть оборудована постоянным электрическим освещением, которое может быть включено даже при закрытых дверях во время обслуживания и ремонта. Требования к освещению: ≥ 50lx на высоте 1 м над крышей кабины и полом ямы, ≥ 20lx в других зонах. Проводка освещения шахты не должна быть открытой с пластиковыми изоляционными проводами. 
4. Яма
4.1 Нижняя часть шахты должна быть оборудована ямой и дренажным устройством. Яма не должна протекать или просачиваться, а дно ямы должно быть гладким и ровным. 
4.2 Шахта лифта не должна располагаться в зоне, доступной для людей. Если есть пространство, доступное для людей под кабиной лифта или противовесом, дно ямы шахты должно быть спроектировано с минимальной нагрузкой 5000 Н/м2, а буфер противовеса должен быть установлен на прочном свайном основании, которое уходит в твердую землю. 
4.3 Для обеспечения безопасного доступа обслуживающего персонала в яму, в яме должно быть установлено постоянное вертикальное лестничное устройство для входа в яму через дверцу landing. Это устройство должно быть закреплено на стене ямы и не должно выступать в пространство для работы лифта. 
4.4 В яме должно быть установлено электрическое гнездо (так же, как в статье 2.14). 
4.5 Когда глубина ямы превышает 2500 мм, рекомендуется, чтобы клиенты сами обеспечили платформу для обслуживания для удобства проверки и обслуживания.
5. Лестничная площадка 
5.1 Вблизи дверцы landing освещение естественным или искусственным светом на уровне landing не должно быть менее 50 люкс. 
5.2 Минимальное расстояние между этажами: когда дверь открывается двумя раздельными дверями, оно не должно быть менее (высота открытия + 560) мм; Боковое открытие двух дверей не должно быть менее (высота открытия + 620) мм. 
6. После установки лифта необходимо выполнить необходимые земляные работы и отделку, такие как: периметр дверной коробки, стальная балка тяговой машины (бетонный пьедестал) и т.д. 
7. Определения терминов чертежа расположения 
a. Глубина ямы: вертикальное расстояние между декоративной поверхностью пола нижней landing и нижней поверхностью шахты 
b. Высота этажа: вертикальное расстояние между двумя смежными декоративными полами 
c. Проезд: вертикальное расстояние от декоративного пола нижней станции парковки до декоративного пола верхней станции парковки 
d. Над головой: минимальное вертикальное расстояние между декоративным полом верхней станции парковки и верхом шахты (без учета крюков/балок и т.д.) 
e. Высота машинного помещения: минимальное вертикальное расстояние между декоративным полом и верхом (без учета крюков/балок и т.д.) в машинном помещении 
8. Это уведомление является частью гражданского проектирования лифта Hyundai (Китай) Elevator Co., Ltd."
Ø635,Ø635
≥1100,≥1100
≥300,≥300
"* CYCLE
CH: OVERALL HEIGHT OF THE CAR INTERIOR
HH: DOOR HEIGHT
PLEASE REFER TO ELEVATOR SPECIFICATION.","* ЦИКЛ
CH: ОБЩАЯ ВЫСОТА ВНУТРИ КАБИНЫ
HH: ВЫСОТА ДВЕРИ
ПОЖАЛУЙСТА, ССЫЛАЙТЕСЬ НА ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ ЛИФТА."
"*This notice is a part of the elevator civil engineering layout of Hyundai (China) Elevator Co., Ltd.","*Это уведомление является частью гражданского проектирования лифта Hyundai (Китай) Elevator Co., Ltd."
"1. SAFE AREA 
2. FIREFIGHTERS LIFT 
3. NORMAL LIFT 
4. INTERMEDIATE FIRE WALL, IF REQUIRED BY NATIONAL BUILDING REGULATIONS    
5. SAFE AREA
6. TO ESCAPE ROUTE","1. БЕЗОПАСНАЯ ЗОНА 
2. ЛИФТ ДЛЯ ПОЖАРНЫХ 
3. НОРМАЛЬНЫЙ ЛИФТ 
4. ПРОМЕЖУТОЧНАЯ ПОЖАРНАЯ СТЕНА, ЕСЛИ ЭТО ТРЕБУЕТСЯ НОРМАТИВНЫМИ АКТАМИ СТРОИТЕЛЬСТВА 
5. БЕЗОПАСНАЯ ЗОНА
6. ДЛЯ ЭВАКУАЦИИ"
1495,1495
2750,2750
2800,2800
3020,3020
3400,3400
3670,3670
4150,4150
4300,4300
4420,4420
4470,4470
4570,4570
4620,4620
"5.1 Environment/building requirements
5.1.1 The firefighters lift is located in a well with a safe area in front of every landing door which is used for firefighting operations. In front of every landing door a safe area, a fire shutter or a fire door shall be provided.
NOTE  The purpose of safe areas is to protect the lift well, firefighters and those who may be waiting to be evacuated against fire, heat and smoke and in addition to allow the self rescue as described in 5.4. The minimum dimensions of each safe area are given by national regulations.
5.1.3 The level of fire resistance of the lift well shall also apply to any of the following: the walls and doors of safe areas, fire doors, fire shutters, doors to machinery spaces, pulley and machine rooms. If there are other lifts in the same well, then the entire common well shall fulfil the fire resistance requirements of firefighters lift wells. See Annex B. It is not necessary that other lifts shall remain in operation but it shall be ensured that a malfunction of another lift does not have any adverse influence of the function of the firefighters lift.
5.1.4 Any lift landing door which is not intended to be used by firefighters and which does not have a safe area shall be protected by a fire shutter or a fire door classified in line with the lift well structure and national regulations (see Figure B.3).","5.1 Требования к окружающей среде/зданию
5.1.1 Лифт для пожарных расположен в шахте с безопасной зоной перед каждой дверцей landing, которая используется для операций по тушению пожара. Перед каждой дверцей landing должна быть предусмотрена безопасная зона, противопожарная завеса или противопожарная дверь.
ПРИМЕЧАНИЕ Цель безопасных зон заключается в защите шахты лифта, пожарных и тех, кто может ожидать эвакуации от огня, тепла и дыма, а также в обеспечении самоспасения, как описано в 5.4. Минимальные размеры каждой безопасной зоны определяются национальными нормами.
5.1.3 Уровень огнестойкости шахты лифта также должен применяться к любым из следующих: стенам и дверям безопасных зон, противопожарным дверям, противопожарным завесам, дверям в машинные помещения, блокам и машинным залам. Если в одной шахте находятся другие лифты, то вся общая шахта должна соответствовать требованиям огнестойкости шахт для лифтов пожарных. См. Приложение B. Не обязательно, чтобы другие лифты оставались в эксплуатации, но необходимо обеспечить, чтобы неисправность другого лифта не оказала негативного влияния на работу лифта для пожарных.
5.1.4 Любая дверца landing, которая не предназначена для использования пожарными и не имеет безопасной зоны, должна быть защищена противопожарной завесой или противопожарной дверью, классифицированной в соответствии со структурой шахты лифта и национальными нормами (см. Рисунок B.3)."
"5.2 Fundamental firefighters lift requirements
5.2.2 The size of the firefighters lift shall be in accordance with national regulations and preferably be selected from ISO 8100-30:2019. At no time shall the size be less than 1100 mm wide by 1400 mm deep with a rated load of 630 kg See also Introduction.
The clear entrance width to the car shall be a minimum of 800 mm.
5.2.3 Where the intended use of the firefighters lift is to include evacuation, to accommodate such items as a stretcher or bed, then the minimum rated load shall be 1 000 kg and the minimum dimensions of the car 1100 mm wide by 2100 mm deep. See also Introduction.
NOTE  For firefighters lifts national regulations can impose greater dimensions and rated loads.
5.2.7 When the distance between consecutive landing doorsills exceeds 7 m, intermediate emergency doors shall be provided, such that the distance between sills is not more than 7 m. Additional consideration shall be made to the maximum length of the ladder as defined in 5.4.2.4.
The floor distance may be greater when appropriate calculations with a 6 m long ladder are provided.See 5.4.2.4","5.2 Основные требования к лифту для пожарных
5.2.2 Размер лифта для пожарных должен соответствовать национальным нормам и предпочтительно быть выбран из ISO 8100-30:2019. В любое время размер не должен быть менее 1100 мм в ширину и 1400 мм в глубину с номинальной нагрузкой 630 кг. См. также Введение.
Ширина входа в кабину должна быть не менее 800 мм.
5.2.3 Если предполагаемое использование лифта для пожарных включает эвакуацию, чтобы разместить такие предметы, как носилки или кровать, то минимальная номинальная нагрузка должна составлять 1000 кг, а минимальные размеры кабины 1100 мм в ширину и 2100 мм в глубину. См. также Введение.
ПРИМЕЧАНИЕ Для лифтов для пожарных национальные нормы могут накладывать большие размеры и номинальные нагрузки.
5.2.7 Когда расстояние между последовательными порогами дверей превышает 7 м, должны быть предусмотрены промежуточные аварийные двери, так чтобы расстояние между порогами не превышало 7 м. Дополнительное внимание должно быть уделено максимальной длине лестницы, как определено в 5.4.2.4.
Расстояние между этажами может быть больше, когда предоставлены соответствующие расчеты с 6-метровой лестницей. См. 5.4.2.4"
